Issue Number,State,Title,Type,Functional Areas,Priority,Labels,URL
5045,OPEN,[Feature]: Need since or reason field in @Hidden annotation,Feature,Annotation Processing,Low/Enhancement,Feature,https://github.com/swagger-api/swagger-core/issues/5045
5043,OPEN,[Bug]: AnnotatedType equality in ModelConverterContextImpl,Bug,Jakarta Migration; Annotation Processing; Validation,Medium,Bug,https://github.com/swagger-api/swagger-core/issues/5043
5041,CLOSED,"[Feature]: I want to configure the default value of @Schema RequiredMode to other value, than AUTO",Feature,Jakarta Migration; Annotation Processing; Validation,Low/Enhancement,Feature,https://github.com/swagger-api/swagger-core/issues/5041
5036,OPEN,[Bug]: Example text is truncated when beginning with numbers,Bug,Annotation Processing; Validation; Examples,Medium,Bug,https://github.com/swagger-api/swagger-core/issues/5036
5035,OPEN,[Bug]: Jakarta @Positive validation is not present in Swagger,Bug,Jakarta Migration; Validation,Medium,Bug,https://github.com/swagger-api/swagger-core/issues/5035
5032,CLOSED,[Bug]: @NotEmpty and @NotBlank validation annotations ignored when combined with @Schema(requiredMode = ...),Bug,Jakarta Migration; Annotation Processing; Validation,Medium,Bug,https://github.com/swagger-api/swagger-core/issues/5032
5028,OPEN,[Bug]: Polymorphic types don&#39;t include composite schema reference,Bug,Polymorphic Types; Jackson; Dependencies,Critical/Regression,Bug,https://github.com/swagger-api/swagger-core/issues/5028
5027,OPEN,"&#34;required&#34; property in Schema.java should be a Set (SortedSet for example), not a List",Other,Validation; Examples,Medium,,https://github.com/swagger-api/swagger-core/issues/5027
5017,OPEN,[Bug]: OpenAPI 3.1: Enum used in @Schema#propertyNames removed when filtering unreferenced schemas,Bug,Annotation Processing; Examples,Medium,Bug,https://github.com/swagger-api/swagger-core/issues/5017
5016,OPEN,[Question]: Duplicate schema names don&#39;t throw but are overwritten,Question,Annotation Processing,High,Question,https://github.com/swagger-api/swagger-core/issues/5016
5014,OPEN,[Question]: How to specify @Schema.examples where each element is an array?,Question,Annotation Processing; Examples,Question,Question,https://github.com/swagger-api/swagger-core/issues/5014
5013,OPEN,[Bug]: @ArraysSchema applied on a stream property results in object type in OAS 3.1,Bug,Annotation Processing; Dependencies,Medium,Bug,https://github.com/swagger-api/swagger-core/issues/5013
5012,OPEN,[Bug]: The OAS 3.1 is missing information from the @ArraysSchema.arraySchema,Bug,Annotation Processing; Examples; Dependencies,Medium,Bug,https://github.com/swagger-api/swagger-core/issues/5012
5011,OPEN,[Feature]: Drop commons-lang3 dependency and replace its usages with core Java,Feature,Dependencies,Low/Enhancement,Feature,https://github.com/swagger-api/swagger-core/issues/5011
5007,OPEN,[Bug]: kotlin inline classes produce weird field names,Bug,Jakarta Migration; Annotation Processing; Jackson; Kotlin; Dependencies,Medium,Bug,https://github.com/swagger-api/swagger-core/issues/5007
5003,CLOSED,[Bug]: Regression: AnnotatedType equality change drops polymorphic subtype allOf entries,Bug,Polymorphic Types; Annotation Processing; Examples,Critical/Regression,Bug,https://github.com/swagger-api/swagger-core/issues/5003
5001,OPEN,[Bug]: Native support for Jakarta @Nullable annotation to generate proper OAS 3.1 nullable types,Bug,Jakarta Migration; Annotation Processing; Validation; Examples; Dependencies,Medium,Bug,https://github.com/swagger-api/swagger-core/issues/5001
4999,OPEN,[Bug]: Example value starting with a number is parsed incorrectly,Bug,Jakarta Migration; Annotation Processing; Examples,Medium,Bug,https://github.com/swagger-api/swagger-core/issues/4999
4993,OPEN,[Bug]: Regression: class specified in @ArraySchema.schema.implementation not rendered in schemas,Bug,Annotation Processing; Dependencies,Critical/Regression,Bug,https://github.com/swagger-api/swagger-core/issues/4993
